dteday,season,weekday,workingday,casual,registered,cnt,season_map,week_map,workday_map
2011-01-01,1,6,0,331,654,985,Spring,Saturday,Holiday
2011-01-02,1,0,0,131,670,801,Spring,Sunday,Holiday
2011-01-03,1,1,1,120,1229,1349,Spring,Monday,Work
2011-01-04,1,2,1,108,1454,1562,Spring,Tuesday,Work
2011-01-05,1,3,1,82,1518,1600,Spring,Wednesday,Work
2011-01-06,1,4,1,88,1518,1606,Spring,Thursday,Work
2011-01-07,1,5,1,148,1362,1510,Spring,Friday,Work
2011-01-08,1,6,0,68,891,959,Spring,Saturday,Holiday
2011-01-09,1,0,0,54,768,822,Spring,Sunday,Holiday
2011-01-10,1,1,1,41,1280,1321,Spring,Monday,Work
2011-01-11,1,2,1,43,1220,1263,Spring,Tuesday,Work
2011-01-12,1,3,1,25,1137,1162,Spring,Wednesday,Work
2011-01-13,1,4,1,38,1368,1406,Spring,Thursday,Work
2011-01-14,1,5,1,54,1367,1421,Spring,Friday,Work
2011-01-15,1,6,0,222,1026,1248,Spring,Saturday,Holiday
2011-01-16,1,0,0,251,953,1204,Spring,Sunday,Holiday
2011-01-17,1,1,0,117,883,1000,Spring,Monday,Holiday
2011-01-18,1,2,1,9,674,683,Spring,Tuesday,Work
2011-01-19,1,3,1,78,1572,1650,Spring,Wednesday,Work
2011-01-20,1,4,1,83,1844,1927,Spring,Thursday,Work
2011-01-21,1,5,1,75,1468,1543,Spring,Friday,Work
2011-01-22,1,6,0,93,888,981,Spring,Saturday,Holiday
2011-01-23,1,0,0,150,836,986,Spring,Sunday,Holiday
2011-01-24,1,1,1,86,1330,1416,Spring,Monday,Work
2011-01-25,1,2,1,186,1799,1985,Spring,Tuesday,Work
2011-01-26,1,3,1,34,472,506,Spring,Wednesday,Work
2011-01-27,1,4,1,15,416,431,Spring,Thursday,Work
2011-01-28,1,5,1,38,1129,1167,Spring,Friday,Work
2011-01-29,1,6,0,123,975,1098,Spring,Saturday,Holiday
2011-01-30,1,0,0,140,956,1096,Spring,Sunday,Holiday
2011-01-31,1,1,1,42,1459,1501,Spring,Monday,Work
2011-02-01,1,2,1,47,1313,1360,Spring,Tuesday,Work
2011-02-02,1,3,1,72,1454,1526,Spring,Wednesday,Work
2011-02-03,1,4,1,61,1489,1550,Spring,Thursday,Work
2011-02-04,1,5,1,88,1620,1708,Spring,Friday,Work
2011-02-05,1,6,0,100,905,1005,Spring,Saturday,Holiday
2011-02-06,1,0,0,354,1269,1623,Spring,Sunday,Holiday
2011-02-07,1,1,1,120,1592,1712,Spring,Monday,Work
2011-02-08,1,2,1,64,1466,1530,Spring,Tuesday,Work
2011-02-09,1,3,1,53,1552,1605,Spring,Wednesday,Work
2011-02-10,1,4,1,47,1491,1538,Spring,Thursday,Work
2011-02-11,1,5,1,149,1597,1746,Spring,Friday,Work
2011-02-12,1,6,0,288,1184,1472,Spring,Saturday,Holiday
2011-02-13,1,0,0,397,1192,1589,Spring,Sunday,Holiday
2011-02-14,1,1,1,208,1705,1913,Spring,Monday,Work
2011-02-15,1,2,1,140,1675,1815,Spring,Tuesday,Work
2011-02-16,1,3,1,218,1897,2115,Spring,Wednesday,Work
2011-02-17,1,4,1,259,2216,2475,Spring,Thursday,Work
2011-02-18,1,5,1,579,2348,2927,Spring,Friday,Work
2011-02-19,1,6,0,532,1103,1635,Spring,Saturday,Holiday
2011-02-20,1,0,0,639,1173,1812,Spring,Sunday,Holiday
2011-02-21,1,1,0,195,912,1107,Spring,Monday,Holiday
2011-02-22,1,2,1,74,1376,1450,Spring,Tuesday,Work
2011-02-23,1,3,1,139,1778,1917,Spring,Wednesday,Work
2011-02-24,1,4,1,100,1707,1807,Spring,Thursday,Work
2011-02-25,1,5,1,120,1341,1461,Spring,Friday,Work
2011-02-26,1,6,0,424,1545,1969,Spring,Saturday,Holiday
2011-02-27,1,0,0,694,1708,2402,Spring,Sunday,Holiday
2011-02-28,1,1,1,81,1365,1446,Spring,Monday,Work
2011-03-01,1,2,1,137,1714,1851,Spring,Tuesday,Work
2011-03-02,1,3,1,231,1903,2134,Spring,Wednesday,Work
2011-03-03,1,4,1,123,1562,1685,Spring,Thursday,Work
2011-03-04,1,5,1,214,1730,1944,Spring,Friday,Work
2011-03-05,1,6,0,640,1437,2077,Spring,Saturday,Holiday
2011-03-06,1,0,0,114,491,605,Spring,Sunday,Holiday
2011-03-07,1,1,1,244,1628,1872,Spring,Monday,Work
2011-03-08,1,2,1,316,1817,2133,Spring,Tuesday,Work
